,Name,Quantity in Stock,Cost Per Unit,Cost Per Round,Round Count,Grain,SKU,DateTime
30,500 Round Case - 45 Auto 185 Grain JHP Prvi Partizan Defense Line Ammo - PPD45SKU: PPD45 - CaseAvailable Stock: 5 $289.50 Each FREE SHIPPING (price per round $0.58),5,289.5,0.58,500,185, PPD45 - Case,2024-08-28 20:03:10.411217
31,50 Round Box - 45 Auto +P Federal HST 230 Grain HP Hollow Point LE Ammo - P45HST1SKU: p45hst1Available Stock: 61 $39.95 Each 20+ @ $34.95 Each (price per round $0.80),61,39.95,0.8,50,230, p45hst1,2024-08-28 20:03:10.411217
32,1000 Round Case - 45 Auto +P Federal HST 230 Grain HP Hollow Point LE Ammo - P45HST1 SKU: p45hst1-1000Available Stock: 5 $699.00 Each FREE SHIPPING (price per round $0.70),5,699.0,0.7,1000,230, p45hst1-1000,2024-08-28 20:03:10.411217
33,350 Round Can - 45 Auto +P Federal HST 230 Grain HP Hollow Point LE Ammo - P45HST1 - Packed in M19A1 CanisterSKU: P45HST1 - 350ACAvailable Stock: 8 $279.50 Each FREE SHIPPING (price per round $0.80),8,279.5,0.8,350,230, P45HST1 - 350AC,2024-08-28 20:03:10.411217
34,50 Round Box - 45 Auto Federal HST 230 Grain HP Hollow Point LE Ammo - P45HST2 SKU: p45hst2Available Stock: 67 $39.95 Each 20+ @ $34.95 Each (price per round $0.80),67,39.95,0.8,50,230, p45hst2,2024-08-28 20:03:10.411217
35,1000 Round Case - 45 Auto Federal HST 230 Grain HP Hollow Point LE Ammo - P45HST2SKU: p45hst2-1000Available Stock: 9 $699.00 Each FREE SHIPPING (price per round $0.70),9,699.0,0.7,1000,230, p45hst2-1000,2024-08-28 20:03:10.411217
36,350 Round Can - 45 Auto Federal HST 230 Grain HP Hollow Point LE Ammo - P45HST2 - Packed in M19A1 CanisterSKU: P45HST2 - 350ACAvailable Stock: 6 $279.50 Each FREE SHIPPING (price per round $0.80),6,279.5,0.8,350,230, P45HST2 - 350AC,2024-08-28 20:03:10.411217
37,50 Round Box - 45 Auto / ACP Federal Hydra Shok 230 Grain JHP Ammo - P45HS1GSKU: P45HS1GAvailable Stock: 71 $44.95 Each 20+ @ $39.95 Each (price per round $0.90),71,44.95,0.9,50,230, P45HS1G,2024-08-28 20:03:10.411217
38,1000 Round Case - 45 Auto / ACP Federal Hydrashok 230 Grain JHP Ammo - P45HS1GSKU: P45HS1G-1000Available Stock: 4 $799.00 Each FREE SHIPPING (price per round $0.80),4,799.0,0.8,1000,230, P45HS1G-1000,2024-08-28 20:03:10.411217
39,350 Round Can - 45 Auto / ACP Federal Hydrashok 230 Grain JHP Ammo - P45HS1G - Packed in M19A1 CanisterSKU: P45HS1G - 350ACAvailable Stock: 7 $309.50 Each FREE SHIPPING (price per round $0.88),7,309.5,0.88,350,230, P45HS1G - 350AC,2024-08-28 20:03:10.411217
40,50 Round Box - 45 Auto 230 Grain Winchester Ranger T-series Ammo - RA45TSKU: RA45TAvailable Stock: 52 $39.95 Each 10+ @ $38.95 Each (price per round $0.80),52,39.95,0.8,50,230, RA45T,2024-08-28 20:03:10.411217
41,500 Round Case - 45 Auto 230 Grain T-Series Winchester Ranger Hollow Point Ammo - RA45TSKU: RA45T-500Available Stock: 11 $389.50 Each FREE SHIPPING (price per round $0.78),11,389.5,0.78,500,230, RA45T-500,2024-08-28 20:03:10.411217
42,50 Round Box - 45 Auto +P 230 Grain Ranger T-Series Winchester - RA45TPSKU: ra45tp-50Available Stock: 72 $39.95 Each 10+ @ $38.95 Each (price per round $0.80),72,39.95,0.8,50,230, ra45tp-50,2024-08-28 20:03:10.411217
43,500 Round Case - 45 Auto +P 230 Grain Ranger T-Series Winchester - RA45TPSKU: ra45tp-500Available Stock: 6 $389.50 Each FREE SHIPPING (price per round $0.78),6,389.5,0.78,500,230, ra45tp-500,2024-08-28 20:03:10.411217
44,50 Round Box - 45 Auto 230 Grain Bonded Hollow Point Winchester Ranger Ammo - RA45BSKU: ra45b-50Available Stock: 67 $55.95 Each 10+ @ $54.95 Each (price per round $1.12),67,55.95,1.12,50,230, ra45b-50,2024-08-28 20:03:10.411217
45,500 Round Case - 45 Auto 230 Grain Bonded Hollow Point Winchester Ranger Ammo - RA45BSKU: ra45b-500Available Stock: 3 $549.50 Each FREE SHIPPING (price per round $1.10),3,549.5,1.1,500,230, ra45b-500,2024-08-28 20:03:10.411217
46,20 Round Box - 45 Auto 185 Grain Defense JHP Winchester Silvertip Ammo - W45ASTSKU: W45AST - BoxAvailable Stock: 64 $22.95 Each 10+ @ $21.95 Each (price per round $1.15),64,22.95,1.15,20,185, W45AST - Box,2024-08-28 20:03:10.411217
47,200 Round Case - 45 Auto 185 Grain Defense JHP Winchester Silvertip Ammo - W45ASTSKU: W45AST - CaseAvailable Stock: 9 $219.50 Each FREE SHIPPING (price per round $1.10),9,219.5,1.1,200,185, W45AST - Case,2024-08-28 20:03:10.411217
48,20 Round Box - 45 Auto 230 Grain Bonded PDX1 Hollow Point Ammo - S45PDBSKU: S45PDBAvailable Stock: 65 $30.95 Each 10+ @ $29.95 Each (price per round $1.55),65,30.95,1.55,20,230, S45PDB,2024-08-28 20:03:10.411217
49,200 Round Case - 45 Auto 230 Grain Bonded PDX1 Hollow Point Ammo - S45PDBSKU: S45PDB - CaseAvailable Stock: 11 $299.50 Each FREE SHIPPING (price per round $1.50),11,299.5,1.5,200,230, S45PDB - Case,2024-08-28 20:03:10.411217
50,20 Round Box - 45 Auto 185 Grain XTP Hornady American Gunner Ammo - 90904SKU: 90904 - BoxAvailable Stock: 68 $19.95 Each 10+ @ $18.95 Each (price per round $1.00),68,19.95,1.0,20,185, 90904 - Box,2024-08-28 20:03:10.411217
51,200 Round Case - 45 Auto 185 Grain XTP Hornady American Gunner Ammo - 90904SKU: 90904 - CaseAvailable Stock: 11 $189.50 Each (price per round $0.95),11,189.5,0.95,200,185, 90904 - Case,2024-08-28 20:03:10.411217
52,20 Round Box - 45 Auto Hornady Critical Defense 185 Grain Hollow Point Ammo - 90900SKU: HA45CD185Available Stock: 67 $27.95 Each 10+ @ $26.95 Each (price per round $1.40),67,27.95,1.4,20,185, HA45CD185,2024-08-28 20:03:10.411217
