19,1000 Round Can - 9mm Luger 115 Grain FMJ PMC Ammo - PMC9A-1000AC - Packed in M2A1 CanisterSKU: PMC9A-ACAvailable Stock: 5 $269.80 Each FREE SHIPPING (price per round $0.27),5,269.8,1000,115, PMC9A-AC,2024-08-31 19:46:25.911421,0.2698
20,50 Round Box - 9mm Luger Sellier Bellot 115 Grain FMJ Ammo - SB9ASKU: SBA919115fmjAvailable Stock: 41 $13.95 Each 20+ @ $12.99 Each (price per round $0.28),41,13.95,50,115, SBA919115fmj,2024-08-31 19:46:25.911421,0.27899999999999997
21,1000 Round Case - 9mm Luger Sellier Bellot 115 Grain FMJ Brass Case Ammo - SB9ASKU: SBA919115fmj-1000Available Stock: 18 $259.80 Each FREE SHIPPING (price per round $0.26),18,259.8,1000,115, SBA919115fmj-1000,2024-08-31 19:46:25.911421,0.25980000000000003
22,400 Round Can - 9mm Luger Sellier Bellot 115 Grain FMJ Brass Case Ammo - SB9A - Packed in Mini Ammo CanisterSKU: SB9A - 400MACAvailable Stock: 8 $119.95 Each 2+ @ $115.95 Each (price per round $0.30),8,119.95,400,115, SB9A - 400MAC,2024-08-31 19:46:25.911421,0.299875
23,1000 Round Flat Can - 9mm Luger Sellier Bellot 115 Grain FMJ Brass Case Ammo - SB9A - Packed in Metal CanisterSKU: SB9A-1000FACAvailable Stock: 5 $269.80 Each FREE SHIPPING (price per round $0.27),5,269.8,1000,115, SB9A-1000FAC,2024-08-31 19:46:25.911421,0.2698
24,1600 Round Can - 9mm Luger Sellier Bellot 115 Grain FMJ Brass Case Ammo - SB9A - Packed in M2A1 CanisterSKU: SB9A-1600ACAvailable Stock: 7 $424.95 Each FREE SHIPPING (price per round $0.27),7,424.95,1600,115, SB9A-1600AC,2024-08-31 19:46:25.911421,0.26559375
25,1650 Round Metal Crate Canister - 9mm Luger Sellier Bellot 115 Grain FMJ Brass Case Ammo - SB9ASKU: SB9A-MC-1650Available Stock: 6 $449.50 Each FREE SHIPPING (price per round $0.27),6,449.5,1650,115, SB9A-MC-1650,2024-08-31 19:46:25.911421,0.2724242424242424
26,50 Round Box - 9mm Luger FMJ 115 Grain Winchester White Box Ammo - Q4172SKU: Q4172Available Stock: 59 $14.95 Each 20+ @ $13.49 Each (price per round $0.30),59,14.95,50,115, Q4172,2024-08-31 19:46:25.911421,0.299
27,500 Round Case - 9mm Luger FMJ 115 Grain Winchester White Box Ammo - Q4172SKU: Q4172 -caseAvailable Stock: 7 $139.50 Each 2+ @ $134.90 Each (price per round $0.28),7,139.5,500,115, Q4172 -case,2024-08-31 19:46:25.911421,0.279
28,1000 Round Can - 9mm Luger FMJ 115 Grain Winchester White Box Ammo - Q4172 - Packed in M2A1 CanisterSKU: Q4172 - 1000ACAvailable Stock: 7 $279.80 Each FREE SHIPPING (price per round $0.28),7,279.8,1000,115, Q4172 - 1000AC,2024-08-31 19:46:25.911421,0.2798
29,50 Round Box - 9mm Luger CCI Blazer Brass 115 Grain FMJ Ammo - 5200SKU: 5200-50Available Stock: 86 $13.95 Each 20+ @ $12.99 Each (price per round $0.28),86,13.95,50,115, 5200-50,2024-08-31 19:46:25.911421,0.27899999999999997
30,1000 Round Case - 9mm Luger CCI Blazer Brass 115 Grain FMJ Ammo - 5200SKU: 5200Available Stock: 14 $259.80 Each FREE SHIPPING (price per round $0.26),14,259.8,1000,115, 5200,2024-08-31 19:46:25.911421,0.25980000000000003
31,350 Round Can - 9mm Luger CCI Blazer Brass 115 Grain FMJ Ammo - 5200 - Packed in M19A1 CanisterSKU: 5200 - 350ACAvailable Stock: 7 $107.50 Each (price per round $0.31),7,107.5,350,115, 5200 - 350AC,2024-08-31 19:46:25.911421,0.30714285714285716
32,800 Round Can - 9mm Luger CCI Blazer Brass 115 Grain FMJ Ammo - 5200 - Packed in M2A1 CanisterSKU: 5200 - 800ACAvailable Stock: 7 $233.50 Each FREE SHIPPING (price per round $0.29),7,233.5,800,115, 5200 - 800AC,2024-08-31 19:46:25.911421,0.291875
33,50 Round Box - 9mm Luger FMJ 115 Grain Winchester White Box Ammo - W9MM50SKU: W9MM50 - BoxAvailable Stock: 142 $13.95 Each 20+ @ $13.49 Each (price per round $0.28),142,13.95,50,115, W9MM50 - Box,2024-08-31 19:46:25.911421,0.27899999999999997
34,1000 Round Case - 9mm Luger FMJ 115 Grain Winchester White Box Ammo - W9MM50SKU: W9MM50 - CaseAvailable Stock: 7 $269.80 Each FREE SHIPPING (price per round $0.27),7,269.8,1000,115, W9MM50 - Case,2024-08-31 19:46:25.911421,0.2698
35,1000 Round Flat Can - 9mm Luger FMJ 115 Grain Winchester White Box Ammo - W9MM50 - Packed in Metal CanisterSKU: W9MM50-1000FACAvailable Stock: 5 $279.80 Each FREE SHIPPING (price per round $0.28),5,279.8,1000,115, W9MM50-1000FAC,2024-08-31 19:46:25.911421,0.2798
